Japanese,English
十分,sufficient
あまり,not much
写真,photograph
繰り返す,repeat
種類,kinds
意見,opinion
新聞,newspaper
文章,Sentence
目立つ,stand out
相手,partner
病院,hospital
厚い,thick
忙しい,busy
薄い,thin
川,river
暗い,dark
クラス,class
黒い,black
バス,bus
青い,blue
買い物,shopping
薬,medicine
砂糖,sugar
休み,holiday
郵便局,post office
住所,address
こちら,Here
財布,wallet
パスポート,passport
椅子,Chair
可愛い,cute
お祖父さん,grandfather
切手,stamp
涼しい,cool
いくつ,How many
メニュー,menu
電気,electricity
勝つ,win
負ける,lose
建てる,build
日記,diary
売り切れ,sold out
お巡りさん,policeman
目覚まし時計,Alarm Clock
レシート,receipt
ティッシュ,tissue
歯ブラシ,toothbrush
下りる,Go down
洗う,wash
パート,part
